Região - Sigla, Estado - Sigla, Município, Revenda, Instalação - Código, Produto, Data da Coleta, Valor de Compra, Valor de Venda, Unidade de Medida, Bandeira
CO, DF, BRASILIA, AUTO POSTO BRAGA LTDA,7890, DIESEL, 03/01/2018,"3,1000","3,699", R$ / litro, IPIRANGA
CO, DF, BRASILIA, AUTO POSTO CHAVES LTDA,7970, DIESEL, 03/01/2018,"3,2180","3,559", R$ / litro, PETROBRAS DISTRIBUIDORA S.A.
CO, DF, BRASILIA, AUTO POSTO JB LIMITADA,7990, DIESEL, 03/01/2018,"3,1500","3,489", R$ / litro, PETROBRAS DISTRIBUIDORA S.A.
CO, DF, BRASILIA, AUTO POSTO SAO JUDAS TADEU LTDA,166827, DIESEL, 03/01/2018,"2,9800","3,199", R$ / litro, IPIRANGA
CO, DF, BRASILIA, BRASAL COMBUSTIVEIS LTDA,8048, DIESEL, 03/01/2018,"3,1990","3,599", R$ / litro, RAIZEN
CO, DF, BRASILIA, ESTAÇÃO DE COMBUSTÍVEIS WEST LTDA.,7679, DIESEL, 03/01/2018,"3,0290","3,429", R$ / litro, PETROBRAS DISTRIBUIDORA S.A.
CO, DF, BRASILIA, EUROGAS-POSTOS DE SERVIÇOS LTDA,7826, DIESEL, 03/01/2018,"3,1790","3,579", R$ / litro, BRANCA
CO, DF, BRASILIA, JAJUR COMERCIO DE DERIVADOS DE PETROLEO LTDA,7836, DIESEL, 03/01/2018,"3,1990","3,599", R$ / litro, PETROBRAS DISTRIBUIDORA S.A.
CO, DF, BRASILIA, JARJOUR VEICULOS E PETRÓLEO LTDA.,7745, DIESEL, 03/01/2018,"3,1900","3,590", R$ / litro, BRANCA
CO, DF, BRASILIA, PECOBRAL COMÉRCIO DE DERIVADOS DE PETRÓLEO BRASÍLIA LTD,7986, DIESEL, 03/01/2018,"3,3990","3,799", R$ / litro, PETROBRAS DISTRIBUIDORA S.A.
CO, DF, BRASILIA, POSTO PARQUE ALAMEDA DERIVADOS DE PETROLEO LTDA,7762, DIESEL, 03/01/2018,"3,1990","3,599", R$ / litro, PETROBRAS DISTRIBUIDORA S.A.
CO, DF, BRASILIA, POSTO SAO ROQUE LTDA,7996, DIESEL, 03/01/2018,"2,9990","3,399", R$ / litro, PETROBRAS DISTRIBUIDORA S.A.
CO, DF, BRASILIA, SAN REMI POSTO SERVIÇOS LTDA,7765, DIESEL, 03/01/2018,"3,2470","3,647", R$ / litro, PETROBRAS DISTRIBUIDORA S.A.
CO, DF, BRASILIA, ARCO- IRIS - PETROLEO COMERCIO E SERVIÇOS LTDA,8009, DIESEL, 10/01/2018,"3,3290","3,729", R$ / litro, RAIZEN
CO, DF, BRASILIA, AUTO POSTO EIXINHO LTDA,7754, DIESEL, 10/01/2018,"3,3000","3,700", R$ / litro, PETROBRAS DISTRIBUIDORA S.A.
CO, DF, BRASILIA, AUTO POSTO MILLENNIUM 2000 LTDA,7923, DIESEL, 10/01/2018,"3,1270","3,527", R$ / litro, PETROBRAS DISTRIBUIDORA S.A.
CO, DF, BRASILIA, AUTO POSTO MILLENNIUM 2000 LTDA,7919, DIESEL, 10/01/2018,"3,1200","3,520", R$ / litro, BRANCA
CO, DF, BRASILIA, AUTO POSTO NM 16 LTDA.,167522, DIESEL, 10/01/2018,"3,2417","3,699", R$ / litro, RAIZEN
CO, DF, BRASILIA, AUTO POSTO RIBEIRO LTDA.,7712, DIESEL, 10/01/2018,"3,1099","3,399", R$ / litro, BRANCA
CO, DF, BRASILIA, AUTO POSTO SÃO MATEUS LTDA,7702, DIESEL, 10/01/2018,"3,0990","3,699", R$ / litro, PETROBRAS DISTRIBUIDORA S.A.
CO, DF, BRASILIA, AUTO POSTO SOF NORTE LTDA,7720, DIESEL, 10/01/2018,"3,2724","3,599", R$ / litro, RAIZEN
CO, DF, BRASILIA, AUTO SHOPPING DERIVADOS DE PETROLEO LTDA,152558, DIESEL, 10/01/2018,"2,5590","3,159", R$ / litro, IPIRANGA
CO, DF, BRASILIA, BRASAL COMBUSTIVEIS LTDA,8048, DIESEL, 10/01/2018,"2,9990","3,599", R$ / litro, RAIZEN
CO, DF, BRASILIA, DISTRIBUIDORA BRASILIA DE VEICULOS S.A.,8085, DIESEL, 10/01/2018,"3,0990","3,699", R$ / litro, RAIZEN
CO, DF, BRASILIA, MORRO AZUL COMERCIO DE PETROLEO LTDA,7837, DIESEL, 10/01/2018,"3,2756","3,722", R$ / litro, IPIRANGA
CO, DF, BRASILIA, PECOBRAL COMÉRCIO DE DERIVADOS DE PETRÓLEO BRASÍLIA LTD,7986, DIESEL, 10/01/2018,"3,1990","3,799", R$ / litro, PETROBRAS DISTRIBUIDORA S.A.
CO, DF, BRASILIA, PETRONORTE COMBUSTÍVEIS LTDA.,171977, DIESEL, 10/01/2018,"2,8990","3,499", R$ / litro, IPIRANGA
CO, DF, BRASILIA, POSTO DE COMBUSTIVEIS GARANTIA LTDA,7686, DIESEL, 10/01/2018,"2,8990","3,499", R$ / litro, BRANCA
CO, DF, BRASILIA, POSTO SIA 3 LTDA,7793, DIESEL, 10/01/2018,"3,2640","3,599", R$ / litro, IPIRANGA
CO, DF, BRASILIA, AUTO POSTO CHAVES LTDA,7970, DIESEL, 17/01/2018,"3,2309","3,559", R$ / litro, PETROBRAS DISTRIBUIDORA S.A.
CO, DF, BRASILIA, AUTO POSTO EIXINHO LTDA,7754, DIESEL, 17/01/2018,"3,2000","3,700", R$ / litro, PETROBRAS DISTRIBUIDORA S.A.
CO, DF, BRASILIA, AUTO POSTO ESQUINA LIMITADA,7685, DIESEL, 17/01/2018,"3,1690","3,669", R$ / litro, BRANCA
CO, DF, BRASILIA, AUTO POSTO JB LIMITADA,7990, DIESEL, 17/01/2018,"3,1959","3,489", R$ / litro, PETROBRAS DISTRIBUIDORA S.A.
CO, DF, BRASILIA, AUTO POSTO LAZZAT LTDA,7770, DIESEL, 17/01/2018,"2,9990","3,499", R$ / litro, RAIZEN
